cast_number,year,latitude,longitude,temperature,oxygen,pH,chlorophyl
7171849,1993,63.983,-179.333,6.303,352.,8.53,0.153
7171855,1993,63.367,-172.200,8.760,307.,8.36,0.265
7171858,1993,63.517,-172.983,7.842,308.,8.37,0.405
7171860,1993,63.267,-173.017,8.341,302.,8.37,0.452
7171867,1993,62.983,-173.000,8.732,298.,8.27,0.175
7171868,1993,60.167,-174.000,8.442,303.,8.35,0.349
7171872,1993,64.650,-176.783,8.215,314.,8.32,0.387
7171884,1993,64.750,-171.517,1.997,262.,7.92,2.394
7171888,1993,64.400,-169.217,7.073,318.,8.36,1.969
7171889,1993,64.950,-169.933,1.897,294.,8.05,0.935
7171899,1993,62.400,-170.333,2.227,277.,7.98,1.684
7171902,1993,65.250,-169.400,1.773,302.,7.98,0.958
7171919,1993,67.750,-167.233,5.540,316.,8.25,0.966
7171923,1993,67.350,-168.750,6.782,312.,8.23,1.12
7171924,1993,68.167,-168.700,4.468,---*---,---*---,0.737
7171925,1993,71.267,-164.233,3.104,344.,8.28,0.265
7171926,1993,72.233,-158.600,0.449,376.,8.27,0.326
7171930,1993,73.100,-160.333,0.619,370.,8.26,0.265
7171935,1993,70.833,-174.600,3.867,325.,8.23,2.346
7171939,1993,70.200,179.017,1.153,363.,8.21,0.222
7171946,1993,68.750,-176.200,3.761,334.,8.26,2.08
7171950,1993,66.533,-170.150,3.183,303.,7.90,1.314
7171992,1993,55.800,-167.000,9.769,289.,8.22,1.027
7735266,1993,49.12878,-13.43617,15.973,266.281,8.178,0.140
7553416,1994,15.000,64.000,---*---,---*---,---*---,0.0510
7735559,1995,47.43206,-7.27040,11.445,225.446,8.123,---*---
8738001,1995,49.08403,-13.41943,16.653,238.127,8.200,0.0700
7846398,1995,49.40342,-11.55205,---*---,---*---,---*---,0.650
7846403,1995,49.19553,-12.85834,16.157,243.981,8.230,0.467
7846405,1995,49.08059,-13.40249,16.092,236.664,8.250,0.482
7846406,1995,49.07724,-13.38921,16.129,234.713,8.250,0.330
7846408,1995,48.98827,-16.47227,16.312,232.274,8.240,0.150
7846410,1995,49.01336,-16.47995,16.286,234.128,8.250,0.120
7846412,1995,48.97797,-13.74470,15.857,239.396,8.240,0.746
7846414,1995,48.98851,-13.73283,14.373,231.494,8.180,0.396
7846416,1995,49.19215,-12.80656,15.639,236.371,8.200,0.254
7846417,1995,49.33683,-11.99646,15.859,235.396,8.240,0.400
7846420,1995,49.30557,-12.50579,15.694,---*---,---*---,0.450
7846426,1995,49.01401,-12.62764,15.906,244.273,8.220,0.570
